src,data_founded,data_founder,data_hq,data_website
imgs/1Yd0Ct6KjI_PraUBb3CEZRUcDY7saw_cO.png, ,,"Berlin, Germany",http://oceanfruit.de
imgs/1dPcp4Qjh6RYvZ-mfGVOZnci4nTs-ICFB.png,2019,Alessandra Amato; Devon Hawkins,"Kingston, Canada",http://algifoods.com
imgs/1xzOl-dPMK3rdNyVuuepPjT9NPkFzYLTb.png, ,,,https://akua.co/
imgs/1VaMHnKK4b_eR6dkQSMS7n7SiYt_OkRFQ.png, ,,,http://www.algalimento.com/en/
imgs/1cieQxb1dE3GRz2KjERYXeb97gRDqwRQ5.png, ,,"Bruck an der Leitha, Austria",https://www.ecoduna.com/en/
imgs/1k3QfZXsBVTUQD_9e4HrTGFc3eV103iwO.png,2019,"Patrick Schnettler, Lindsey Palmer","San Francisco, USA",https://12tides.com/
imgs/108WxIyqscsPZMPkEJiucRSH-0e0f4D-k.png,1981,,"Dartmouth, Canada",http://www.acadianseaplants.com/
imgs/1DXHy8ajQpSs1iNyjXpBGOH--5yGq1vUu.png, ,,,https://aa-biotech.hr/
imgs/1qfzmO0bHt4ofBowABOHAJcWuMBZ2zMiA.png,2009,Jun Setoguchi,,https://agargel.com.br/
imgs/1UqJFYr_tuAkcETfuzO534wEpoTWthO1m.png,1994,,,https://www.agrimer.com/
imgs/1RmS-UqNDUq0is2BYh5cWBDK55mmzvzJ-.png, ,,,https://www.alaskasimplepleasures.com/
imgs/1d5oAKV3RDDJ0AK5woHfz779gEdy3dlL0.png, ,,,http://www.alg-emeraude.com/
imgs/146x4L8VSQiV0jKhyeJifr76wISi55fFo.png,2016,,,http://www.algaia.com
imgs/1OsqdFg_-rzn2z9jiVc5Ktq2mAPnMARJc.png,1865,,"Wayzata, USA",https://www.cargill.com
imgs/1_MjrqC076EZOBzyiDMTX5M090SPM0Dkg.png,1929,,"Atlanta, USA",http://www.cpkelco.com
imgs/1cieQxb1dE3GRz2KjERYXeb97gRDqwRQ5.png, ,,"Bruck an der Leitha, Austria",https://www.ecoduna.com/en/
imgs/1-vJrQIckBo_ikDAgaTlVK8eqac_lMy7Q.png, ,,,http://firglas.com/
imgs/106lptV3LohXD1CbZdHdwNUqC7VUHgtlR.png,2002,Carlos Unamunzaga,"El Puerto de Santa María, Spain",http://www.fitoplanctonmarino.com
imgs/1202jy3lU3lwIv9c9XHRDIx1NFHYaI561.png,1933,,"Hertzeliya Pituach, Israel",https://www.iff.com/en
imgs/1IU_Ws2CD08xpuQt-KTg9mb7tvQzZQ6zb.png, ,,"Franklin, USA",https://www.seaveg.com/
imgs/1hKnZIREwpd5JdGcp5KNb0bj9IIdx8tRK.png,2017,,"Bergen, Norway",https://www.norceresearch.no/
imgs/15adrqMIigAz8x5-ZRNM7BlyHLTwy-5Jb.png,2017,Scotty Schmidt,"San Pedro, USA",http://www.primaryocean.com
imgs/1cc46uMlAxPfFERsgO9BOEj3CrT-8yY81.png,2012,,"Houston, USA",https://www.qualitas-health.com/
imgs/15WrtolBiKrvMVJaT8OvBUEfUZZeDXt04.png,2014,Yossi Karta,"Netanya, Israel",http://www.seakura.co.il
imgs/1Toa8fPzAQO52A7-0qL7Dshz8DNFP4I7g.png,2016,"Surjan Singh, Elliot Roth","Los Angeles, USA",http://www.spirainc.com
imgs/1tHGQLRtkP0omgAojCxs6RCqm_sNH5F5a.png,1983,,,http://www.thorvin.com
imgs/1r7uPng28t-ikl3HPqv_s6hljoqq1fCZh.png, ,,,https://www.yourwell.nl/
imgs/1h7CYwB0Q1OMxUnjjns0QKaNNXiSsEaIQ.png, ,,,https://www.zeewaar.nl/nl/
imgs/1N3m6Vt8ckE_JTpDN65LCIsMuseJ01mjo.png,2013,,"Bergen op Zoom, Netherlands",http://www.biorizon.eu
imgs/1huQqcgFLAu7Y5fPa-Dg-o7_8-D9ArUo0.png, ,,,https://www.alga-life.com/
imgs/15adrqMIigAz8x5-ZRNM7BlyHLTwy-5Jb.png,2017,Scotty Schmidt,"San Pedro, USA",http://www.primaryocean.com
imgs/1ImMtkqsoDX3jJSZpG1wqe9qIu8v2eHgI.png,2020,Adi Goldman; Nofar Hod; Eran Perlstein,"Tel Aviv, Israel",http://www.biotic-labs.com/contact
imgs/15adrqMIigAz8x5-ZRNM7BlyHLTwy-5Jb.png,2017,Scotty Schmidt,"San Pedro, USA",http://www.primaryocean.com
imgs/1ERoqyQ44SSCWS9iTyOGjHltDPPbt2DEd.png,2007,,"Alcobendas, Spain",http://www.algaenergy.com
imgs/1-vJrQIckBo_ikDAgaTlVK8eqac_lMy7Q.png, ,,,http://firglas.com/
imgs/15adrqMIigAz8x5-ZRNM7BlyHLTwy-5Jb.png,2017,Scotty Schmidt,"San Pedro, USA",http://www.primaryocean.com
imgs/1DXHy8ajQpSs1iNyjXpBGOH--5yGq1vUu.png, ,,,https://aa-biotech.hr/
