src,data_founded,data_founder,data_hq,data_website
assets/imgs/imgs/1vJDI8nvqKV8WaY6OVTMkDFgPoV_CLs_j.png,2020,Juan Pablo De Giacomi; Pablo Sanchez Rey; Francisco Kuhar,"Buenos Aires, Argentina",https://innomy.com.ar/
assets/imgs/imgs/1BxzHr6TpsXh3bQOodCZzGsaTIeWP53YR.png,2010,Jan Willem Bosman Jansen,"Amsterdam, ",http://gro-together.com
assets/imgs/imgs/1IjuFm_QY5tx02ImvuVRqVduedo1p4AIj.png,2019,Lena Günther; Judith Bahls,"Berlin, Germany",http://www.inner-elmt.com
assets/imgs/imgs/1WpdSvY06OJk4t-x_QTV7DZTenOa-S-dK.png,2020,Parker Olson,"Seattle, United States",http://www.forij.co
assets/imgs/imgs/1-Gf-quF4rcCeddKJtS5MbV4W1Ox9Plej.png, ,,,https://organicmushrooms.com
assets/imgs/imgs/15silHTKUMEplkxb54-2qtpjcRRZl8d6b.png, ,,,https://www.milehighfungi.com/
assets/imgs/imgs/16S2gJKpYX-YC8efcyKLcWMRJmLbdFVcM.png, ,,,https://www.fungially.com/
assets/imgs/imgs/18M9XDQx5L0W3ZlKbMPVvTAcpua28U-HD.png, ,,,https://freshcap.com/
assets/imgs/imgs/19uy7J5Y88TQAEXwHFuHePPfXnGDhGM66.png, ,,,http://savorywild.com/
assets/imgs/imgs/1C-QRHU1fmkaaKLNBu2cooO0kCypVyRbz.png, ,,,https://www.leepfoods.com/
assets/imgs/imgs/1E60FYYIlr5v9FL5BUmgv0GLl19zcop17.png, ,,,https://www.nhmushrooms.com/
assets/imgs/imgs/1G2iJMBWuc3wKqqE654eIEPvP1zo2GibX.png, ,,,https://nutcasevegan.com/recipes
assets/imgs/imgs/1GCyYQ2MI2DNMNPxtmaEcTZtMQDXrbV81.png, ,,,https://www.columbiamushroom.com/
assets/imgs/imgs/1GIuokBA96wABwr98o3GFwZU-WYqi02qw.png, ,,,https://www.smallhold.com/
assets/imgs/imgs/1GQEE4aNKk_wokloX8k8nZ6VbS6wszLPi.png, ,,,https://www.sceltamushrooms.com/
assets/imgs/imgs/1HgnXVYBZwLzQ9cVfGczZ_gYZ0wTQXxyn.png, ,,,https://littleacre.com.au/
assets/imgs/imgs/1HwQ87MhNRvzADg7BYThU1x3qza0ZFNT6.png, ,,,https://www.naturli-foods.com/
assets/imgs/imgs/1NM2elM3IatjVZCdgzBx9ycHHOeYJEptm.png, ,,,
assets/imgs/imgs/1PHNl62gtgPZ4XKgON-badxkJ6UV1w_Ag.png, ,,,https://www.themushroomfactory.com/
assets/imgs/imgs/1PLWIDPeJVqHIDxNc__KbNEPBEOcSxt31.png, ,,,http://www.ponderosa-mushrooms.com/
assets/imgs/imgs/1TdEZBfOQGefILG5WqT9CUxt8fv_CRhZs.png, ,,,https://www.montereymushrooms.com/
assets/imgs/imgs/1YNPN3lGW1nh9rn8YrbeSPaiBX_eVU2Iz.png, ,,,https://www.primeroots.com/
assets/imgs/imgs/1YmdDOKb_yt1wcFlQPfPatv1VItZrbcN7.png, ,,,https://www.facebook.com/pg/RomanasMushroomFarm/photos/
assets/imgs/imgs/1a_Dadb5NQdf_4EDaXrJak6UPiIn49DP8.png, ,,,https://www.facebook.com/ValleyCityFungi/
assets/imgs/imgs/1be_2nnm_NrCR6VDSSK0OtI1IivytR6Gi.png, ,,,https://www.quorn.us/
assets/imgs/imgs/1cmp9gEyVBZYTPUk3UaJZ_F0ADgNujIkh.png, ,,,https://www.gramcofungi.com/
assets/imgs/imgs/1fNb3lPAUGU5T6CC9o-IeSaV8eXO8CvYL.png, ,,,https://www.facebook.com/chicagomushroomcompany/
assets/imgs/imgs/1gVbBgCOkrjaAIbZbBTjN9YbnDziS4CTg.png, ,,,https://to-jo.com/
assets/imgs/imgs/1kpp_AOosY7hUj7Yn4G0_tpeTh9qPQjXz.png, ,,,https://forestfungi.co.uk/
assets/imgs/imgs/1nozKIgk2-9K_SV8VygeCQ8u_T4Ekbro0.png, ,,,https://www.mamfglobal.com/
assets/imgs/imgs/1rbE2xHehWyukCK01JxqTpm1UMkg67-1b.png, ,,,https://www.rimushrooms.com/
assets/imgs/imgs/1sojE7hsP_xjzjZ1rfevJ5ahYCW7V_XrC.png, ,,,https://www.hoobafoods.com/
assets/imgs/imgs/1vy2DLr-zl6gYOVWCOMqfBvQhbI_7vzu5.png, ,,,https://northspore.com/
assets/imgs/imgs/1yebHln0mlfM6eyqYxOAqXKBkkDkzwRap.png, ,,,https://mousamvalleymushrooms.com/
assets/imgs/imgs/1yucKYZ0Epom3v0AvfLULkdju9Jm44huD.png, ,,,https://solti.com/
assets/imgs/imgs/1ssFp5Uwqv_lOUHqcRFolngyWAKNSqVHX.png, ,,,https://fungifactory.nl/
assets/imgs/imgs/1_wpU-tU0XA5JbFbcJNxAa_17qGaK8RHC.png, ,,,
assets/imgs/imgs/1w5ddYZJYfR0sg35idrxw4VPItub9lLtr.png, ,,,https://ecovativedesign.com/
assets/imgs/imgs/1NqI_bYrnFx9ZUTcFPIZffwa6jbdYjgas.png, ,,,https://movingmountainsfoods.com/
assets/imgs/imgs/1GwiyBnWGkmmztx_LBsV9KD-MGcC5QcxM.png,2007,Michael Pan,"Vancouver, USA",https://www.mushroomjerky.com/
assets/imgs/imgs/1gJftqB8baK0ZHjLn4Gf4NNQtWTeEBH7t.png,2017,Wyatt Bryson,"Sebastepol, USA",https://www.shroomjerky.com
assets/imgs/imgs/1VTurWrh3KUIWEHK1uOT_Z7H3FpX-ZlkO.png,2019,Thomas Hong,"Montville Township, USA",https://www.vegky.com/
assets/imgs/imgs/1QsBVG3HHvN2mXv3plq6PLQnQpp_jmhp9.png,2018,Giorgio Foods,"Temple, USA",http://savorywild.com/
assets/imgs/imgs/1fZbltP7LXfe5mbZOTn0C5bFhoeiLUaaf.png, ,Doug Cohen,"New York, USA",https://nymushroomco.com/
assets/imgs/imgs/1MW-YIqFm6rMC6F97RArsyXf2PY_cLdkV.png,2020,"Ash Shirazi, Jordan Despanie","Tulsa, USA",https://mushlove.co
assets/imgs/imgs/1U7lIqISdPgJWIGByQiFWApm4eknz9jwn.png,2012,"Tero Isokauppila, Mikko Revonniemi","Santa Monica, USA",http://www.foursigmatic.com
assets/imgs/imgs/1f0RhGN2UOlewRqYHQPIvu6DeCMvfOw7f.png,2016,"Stipe Rezic, Morten Smalby","Solin, Croatia",https://mushroomcups.com/
assets/imgs/imgs/1JSxVpwU5jQjlGOL_kRnbN-DZus46_PzI.png,2007,David Vartanian,"Los Angeles, USA",https://sayanchaga.com/
assets/imgs/imgs/14o3hzbryeeKXGpjo_l7fO-BexXcsl1AH.png, ,,,https://mudwtr.com/
assets/imgs/imgs/1rXy4Og_0yqBd5kVok297_BTEx2fgF2qw.png, ,,,https://www.funghiespresso.com/?lang=en
