src,data_founded,data_founder,data_hq,data_website
imgs/1DRSJLU3akuvGezpUn7JAyHuLaMF3xRyg.png,2015,Linda Monique,"SOUTH MELBOURNE, Australia",http://www.almomilk.com.au
imgs/1szFCryite8H3Ak5yhtqk8Dl0sOqbpeHF.png,2016,Amy Colville,"Portland, Portland, Oregon, US",www.amylkshop.com
imgs/1fYhuRk3uzRUvoS4aATnz3Z_3KgQlLaCc.png,1933,Cav. Francesco Condorelli,"Peabody, Peabody, Massachusetts, US",www.barbieroitalianfoods.com/condorelli
imgs/1Yu1bYoRtq8OFp7nDffbf9l_hGTmwb6hV.png,2011,Elena Shifrina,"Moscow, Moscow, Russia",www.bite.ru
imgs/1XSLpgm68Ovhrdo_wKa1FFuw8GL_7QgBX.png,2017,Eleana Casado & Micaël Varnewyck,"Hong Kong, Hong Kong, China",www.cerealthy.com
imgs/1bL0t16hxMtWBDYxU8JA2_UrrVCnwiKBk.png,1993,,"Russia, Pskov",www.cream-art.ru
imgs/1EPAdzb9eJ0TMry41GBJjR24qIx-kFJWP.png,2010,Panos Brands,"Rochelle Park, New Jersey, US",www.drinkbetterthanmilk.com
imgs/1bicIpuWCU7D0PMXDRNzeinK5wqIuoTLE.png,2020,Christian Christensen,"Klippinge, Klippinge, Denmark",www.dryk.dk
imgs/1m8W8QgrPPAVr8DcT9xiV0Pemk63mN1fX.png,1995,Maheb Nathoo,"Vancouver, Vancouver, British Columbia, Canada",www.earthsown.com
imgs/16v2mV5cobVF062277GG1KnxWf6dvzIzB.png,1991,Nutriops,"Murcia, Murcia, Spain",www.ecomil.com
imgs/1Gn-MHXkKJQ0J2bGqP-yzT-NMobyhAUuH.png,2017,Henry Schwartz,"Elma, Elma, New York, US",www.elmhurst1925.com
imgs/1aIsZ05kPzKZ1r7KkUvfCGT9eRyHFwemW.png,2018,Brooke Rewa,"Los Angeles, Los Angeles, California, US",www.goodmylk.co
imgs/1xpIYDlBKazdGC3Rls0jMCdN89tYWg4Pq.png,2016,Abhay Rangan,"Karnataka, Bangalore, India",www.goodmylk.in
imgs/1bD-fCqwEMkHhdArMiygGxAKZfV7PT_RT.png,1993,Margherita and Ernesto Negro,"Vicenza, Vicenza, Italy",https://thebridgebio.com
imgs/1b60P9hx_Dx_AtukFTsH_jMTQ4dlgBxtb.png,1999,Family Owned,"Badia Polesine, Badia Polesine, Italy",https://www.isolabio.com/
imgs/1bcgkCRNz7cNyYQsXwG8Wj7YLNl1qqN4U.png,1998,,"Bihn Duong, Dī An, Binh Duong, Vietnam",www.jojonavi.com
imgs/1BogpeEiETOFBbz0LgGOvsPiyCbgmpbyM.png,2014,August Vega,"Houston, Houston, Texas, US",www.malkorganics.com
imgs/1NdsTpqVKWIzQSXD9g_hHBU095ZIU-bSj.png,2013,Jeff Richards,"Dallas, Dallas, TX, USA",www.mooala.com
imgs/1yOODORatrT4FfoXMQN2QpDGXUsn6nbCl.png,2011,Jamie Chapman,"Santa Monica, Santa Monica, California, US",www.mylkman.com
imgs/1gxREEEvpqtRA_av10wF0CJzOekYcVUYq.png,1960,Luciano Martini ,"Conselice,  Italy",https://orasivegetale.it/
imgs/1CDBzN62kHMfuD8qRHsTqkUkQtMcx9XyD.png,2011,Rip Esselstyn,"Texas, Texas, US",www.plantstrong.com
imgs/1MZkMwIPx8IOQTPxoY6BGpdF3kDFlYJfC.png,1980,Policom SLR,"Calabro, Italy",www.policomsrl.it/en/mandor-line
imgs/1BUWew39Yz0RD4tenP2XxCyvNIIwD7Wkn.png,2004,,"Di An Ward, Binh Duong Province, Vietnam",www.rita.com.vn
imgs/164B4RHA5Cu6-HueNRly1t7LLETSnqr9k.png,2005,Nick Barnard & Camilla Barnard,"London, London, UK",www.rudehealth.com
imgs/1lXa78-rP0C8E4mRbiLkHxIX6xzS5tZwF.png,1978,Steve Demos,"Broomfield, Broomfield, Colorado, US",www.silk.com
imgs/1HE7rlI5NXaVfMtzAqXf-iEtk__db5Xtd.png,1987,Mark Brawerman,"Broomfield, Broomfield, Colorado, US",www.sodeliciousdairyfree.com
