name,summary,link,Primary focus,Location,Founded,Business model,Protein category,Ingredients,Technology focus,End product application,Meat fish analogs
Global Food and Ingredients Inc.,"GFI is a fast-growing Canadian owned and operated plant-based food and ingredients company, connecting the local farm to the global supply chain for peas, beans, lentils, chickpeas and other high protein specialty crops. GFI is organized into three primary business lines: Pea Protein Inputs, Plant-Based Ingredients and Plant-Based Consumer Packaged Goods. GFI buys directly from its extensive network of farmers, processes its products locally at its three wholly-owned processing facilities in Saskatchewan and ships to 36 countries across the world.",gfiglobalfood.com,Food and beverages,Canada,2018,Ingredients & inputs,Plant-based,"Beans, Chickpea, Lentils, Pea",Ingredient optimization,,
Montana Pure Protein,We believe in our opportunity to serve a hungry world's desire for quality food! Growing strong relationships across the food system from the lab to the consumer delivering value for all our partners in pursuit of their aspirations.,montanapure.us,Food and beverages,United States,2020,Ingredients & inputs,Plant-based,Pulses,Ingredient optimization,,
Alghética,"Alghètica is a biotech startup company involved in the optimization of microalgal strains to obtain new and better ingredients for commercial use. We offer both an R&D service for companies looking to enhance their own strains with cutting-edge biotechnology, and a line of in-house produced compounds for companies in search of new alternatives to add to their portfolio of plant-based ingredients",alghetica.com,Food and beverages,Italy,2021,Ingredients & inputs,"Fermentation, Plant-based",Algae,Ingredient optimization,,
"Shandong Wonderful Industrial Group Co., Ltd.","Shandong Wonderful Industrial Group Co., Ltd is a Group company which mainly engaged in deep processing of NON-GMO soybean.",wandefugroup.com,Food and beverages,China,2001,Ingredients & inputs,Plant-based,Soy,Ingredient optimization,,
"Dahmes Stainless, Inc.","Dahmes Stainless, Inc. is a turnkey solution provider serving the worldwide marketplace. Our primary business focus is the design, manufacture and installation of spray drying systems. We also specialize in custom manufacturing, conveying systems, agglomerators, process piping and existing system renovation.
Our primary markets include:
- Food & Dairy Processing
- Construction - Architectural
- Chemical
- Pharmaceutical
We excel in serving our customers in the following areas:
- Spray & fluid bed drying systems
- Evaporation systems including a mobile pilot evaporator
- Heat recovery systems
- Product removal systems
- Conveying & packaging equipment
- Access stairs, platforms and handrail
- Variety of associated parts
- Pilot plants
Our Core Values are a set of fundamental beliefs that guide us when making decisions and doing our work:
Authentic: We know who we are, and we own it.
Pioneering: We take risks to create forward looking solutions.
Committed: We shake hands and keep our word.",dahmes.com,Food and beverages,United States,1994,Infrastructure & equipment,Plant-based,,Bioprocess design,,
Charoen Pokphand Foods,"Charoen Pokphand Foods Public Company Limited is the leading agro-industrial and food conglomerate in the Asia Pacific region. The Company operates in both the livestock (swine, broilers, layers, and ducks) and aquaculture (shrimp and fish) businesses. The vertically integrated businesses incorporate the manufacturing of animal feed, animal breeding and animal farming; meat processing, the manufacturing of semi-cooked meat and fully-cooked meat; food products and ready meal products, as well as the meat and food retailer and restaurant businesses.",cpfworldwide.com,"Animal feed and pet food, Food and beverages",Thailand,,"End-consumer brands & products, Ingredients & inputs",Plant-based,,,Meat & fish,
"Shanghai Duoning Biotechnology Co., Ltd.",Duoning Biotech is a serum-free medium and technology developer based on international animal cell culture concepts,duoningbio.com,"Biomaterials, Food and beverages",China,2005,"Infrastructure & equipment, Ingredients & inputs",Cultivated,,"Bioprocess design, Cell culture media",,
3D Bio-Tissues,"We are an abitious start up, aiming to bring functional tissue engineered products to the market. Our unique technology creates tissues with the same nanoscale structural features found in actual living tissue. This allows our tissues to be truly functional and not a random mass of cells and materials.",3dbiotissues.com,"Biomaterials, Food and beverages",United Kingdom,2019,Ingredients & inputs,Cultivated,,"Bioprocess design, Scaffolding and structure",,
Benson Hill,"Benson Hill moves food forward with the CropOS® platform, a cutting-edge food innovation engine that combines data science and machine learning with biology and genetics. Benson Hill empowers innovators to unlock nature’s genetic diversity from plant to plate, with the purpose of creating healthier, great-tasting food and ingredient options that are both widely accessible and sustainable. More information can be found at bensonhill.com.",bensonhill.com,Food and beverages,United States,2012,Ingredients & inputs,Plant-based,"Pea, Soy",Ingredient optimization,,
Accellta,"Accellta develops, manufactures and markets a range of game-changing solutions for the cost-effective industrialization of stem cell manufacturing. Our technologies can save more than 90% of the cost and 65% of the time of pluripotent, progenitor and differentiated cells mass-manufacturing comparing to classical adherent culture systems.
This includes proprietary technologies for expanding and differentiating human Embryonic and Induced Pluripotent Stem Cells in suspension devoid of feeder cells and with no need for micro-carriers.
These technologies enable continuous, robust and reproducible expansion and induced differentiation of stem cells using dynamic bioreactors, in a cost-effective manner, offering unprecedented magnitude and quality.
The potential uses of our technologies are numerous, ranging from regenerative medicine, bio-fabrication and 3D-bioprinting to tissue- and organ-on-a-chip for drug screening.
Our technologies are the fruits of over 15 years of pioneering research and development at the Stem Cell Center in the Technion’s Rappaport Faculty of Medicine.
Accellta was established in 2012 through a seed investment from the Alfred Mann Institute of the Technion. Our last investment round was led by Horizons Ventures.
We have already established several agreements with leading companies that manufacture, market and sell stem cells culture media, based on our rich Intellectual Property.
We are offering our partners the custom-made development of up-scalable, robust manufacturing of stem cells and designated media for regenerative medicine or drug screening purposes. We also plan to develop tissues and biochips based on a range of stem cells derived functional cells for screening and testing of drug candidates, in collaboration with leaders in bio-fabrication and 3D-bioprinting industries, as well as a range of stem cell based products for selected medical and aesthetic indications.",accellta.com,"Biomaterials, Food and beverages",Israel,2012,Ingredients & inputs,Cultivated,,Cell line development,,
