DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_D4202(1.0),A: Annual,SL01: Total,1996,103.056338028169,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,1997,100.128007699711,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,1998,98.6751860239405,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,1999,96.3462596259626,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2000,90.8132225433526,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2001,94.8880167451596,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2002,99.2431991294886,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2003,101.094845360825,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2004,101.199404761905,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2005,99.3927233814874,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2006,95.9147753589625,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2007,106.708062418726,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2008,84.6290201944652,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2009,92.1653477717618,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2010,100.606566200215,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2011,98.1175505740842,,0: Zero,,,,
LU1:DF_D4202(1.0),A: Annual,SL01: Total,2012,102.393229166667,,0: Zero,,,,
