DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1961,314900,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1971,339800,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1981,364602,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1983,365450,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1984,365550,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1985,366150,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1986,367200,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1987,369400,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1988,372000,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1989,375800,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1990,379300,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1991,384400,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1992,389600,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1993,394750,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1994,400200,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1995,405650,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1996,411600,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1997,416850,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
LU1:DF_B1115(1.0),L01: Total population,A: Annual,1998,422050,,,"L01: Break in series: as from 1961 Source: STATEC, as from 2017 Source: STATEC and CTIE. The law of 11 December 1986 on Luxembourg nationality granted on 1 January 1987, the Luxembourg nationality to 3 330 minor children born to a mother holding the Luxembourg nationality. The figures of the total population (luxembourgish and foreign) for the years 1992-2000 have been revised based on the results of the population census on 15 February 2001.",,,0: Zero
