DATAFLOW,BUILDINGS: Buildings,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_BUILDINGS_2: Note Buildings 2,NOTE_BUILDINGS_1: Note Buildings 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1970,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1971,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1972,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1973,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1974,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1975,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1976,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1977,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1978,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1979,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1980,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1981,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
LU1:DF_D4200(1.0),B02: Number of dwellings,SL07: Agricultural buildings,A: Annual,1982,,,,,,,"spec: In 2000: Not-comparable results, see methodological note ""Year of completion""(french version)",-: nil,0: Zero
