DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1974,23.65,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1975,40.98,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1976,30.71,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1977,21.84,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1978,40.93,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1979,50.27,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1980,25.24,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1981,43.73,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1982,39.46,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1983,29.1,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1984,21.86,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1985,8.21,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1986,11.16,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1987,10.14,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1988,16.01,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1989,30.49,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1990,73.48,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1991,52.18,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1992,158.26,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1993,230.66,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1994,108.23,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1995,82.75,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1996,77.96,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL03: Local authorities,A: Annual,1997,33.86,,,,,,0: Zero
