DATAFLOW,POP_MOVEMENT: Population Movement,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_POP_MOVEMENT_2: Note Population Movement 2,NOTE_POP_MOVEMENT_1: Note Population Movement 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1990,366,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1991,479,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1992,535,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1993,486,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1994,453,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1995,387,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1996,379,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1997,415,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1998,430,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,1999,464,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2000,373,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2001,415,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2002,383,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2003,336,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2004,383,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2005,390,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2006,372,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2007,404,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2008,403,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2009,377,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2010,364,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2011,483,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2012,447,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2013,429,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2014,480,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2015,549,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2016,578,,,,,,,,0: Zero
LU1:DF_X025(1.0),M001: Arrivals,CM10008: Mondercange,A: Annual,2017,735,,,,,,,,0: Zero
