DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1821,810,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1851,1489,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1871,3946,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1880,5082,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1890,6855,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1900,10971,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1910,16461,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1922,20437,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1930,29429,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1935,27517,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1947,26851,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1960,27954,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1970,27574,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1978,25515,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1979,25538,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1981,25144,,,,,,0: Zero
LU1:DF_X021(1.0),A: Annual,CM10004: Esch-sur-Alzette,1983,24550,,,,,,0: Zero
